,Muslim,Sunni,Shia,Christian,Catholic,Orthodox,Protestant,Hindu,Buddhist,None,Mixed,Jewish,Religion,Sect,,,,,,,,literacy,,,GINI,,,,,,,,,,
Saudia Arabia,1,0.875,,,,,,,,,,,Muslim,Sunni,,0.11006251,Iraq,,,,,,,,,,,,,,,,,,
Senegal,0.959,,,,,,,,,,,,Muslim,N/A,,0.758269245,Turkmenistand,,,,,,,,,,,,,,,,,,
Serbia,,,,0.906,,0.846,,,,,,,Christian,Orthodox,,0.814531573,Antiqua and Barbuda,,,,,,,,,,,,,,,,,,
Seychelles,,,,0.891,0.762,,,,,,,,Christian,Catholic,,0.097541643,Austria,,,,,,,,,,,,,,,,,,
Sierra Leone,0.786,,,,,,,,,,,,Muslim,N/A,,0.760594927,India,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,1,,Mixed,N/A,,0.220348037,Tonga,,,,,,,,,,,,,,,,,,
Sint Maarten,,,,0.822,,,0.419,,,,,,Christian,Protestant,,0.486785173,Kosovo,,,,,,,,,,,,,,,,,,
Slovakia,,,,0.74,0.62,,,,,,,,Christian,Catholic,,0.274634141,Sudan,,,,,,,,,,,,,,,,,,
Slovenia,,,,0.61,0.578,,,,,,,,Christian,Catholic,,0.372924401,Niger,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,0.959,,,0.734,,,,,,Christian,Protestant,,0.781750869,American Samoa,,,,,,,,,,,,,,,,,,
Somalia,0.6,0.5,,,,,,,,,,,Muslim,Sunni,,0.848088609,Montenegro,,,,,,,,,,,,,,,,,,
South Africa,,,,0.86,,,,,,,,,Christian,N/A,,0.981685807,Honduras,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,1,,Mixed,N/A,,0.649011835,Panama,,,,,,,,,,,,,,,,,,
Spain,,,,0.689,0.689,,,,,,,,Christian,Catholic,,0.971753488,Dominican Republic,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,0.702,,,,Buddhist,N/A,,0.719261991,Denmark,,,,,,,,,,,,,,,,,,
Sudan,0.6,0.5,,,,,,,,,,,Muslim,Sunni,,0.957447577,Isle of Man,,,,,,,,,,,,,,,,,,
Suriname,,,,0.496,,,,,,,,,Christian,N/A,,0.64992537,Argentina,,,,,,,,,,,,,,,,,,
Sweden,,,,0.642,,,0.602,,,,,,Christian,Protestant,,0.171592761,Madagascar,,,,,,,,,,,,,,,,,,
Switzerland,,,,0.656,,,,,,,,,Christian,N/A,,0.337260585,Comoros,,,,,,,,,,,,,,,,,,
Syria,0.87,0.74,,,,,,,,,,,Muslim,Sunni,,0.003696644,Ethiopia,,,,,,,,,,,,,,,,,,
Taiwan,,,,,,,,,,,1,,Mixed,N/A,,0.819070408,Eswatini,,,,,,,,,,,,,,,,,,
